"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"QuestionnaireResponse","QuestionnaireResponse","","Form
QuestionnaireAnswers","",0,*,"","","","null {[]} {[]}
","A structured set of questions and their answers","A structured set of questions and their answers. The questions are ordered and grouped into coherent subsets, corresponding to the structure of the grouping of the questionnaire being responded to.","The QuestionnaireResponse contains enough information about the questions asked and their organization that it can be interpreted somewhat independently from the Questionnaire it is based on.  I.e. You don't need access to the Questionnaire in order to extract basic information from a QuestionnaireResponse.","","","","","","","","",,,,,"",,,,"QuestionnaireResponse",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}hn-carerecord-1:暫存填是時，表單狀態必須為 in-progress。 {item.where(linkId='IsTemporary').answer.value.ofType(Coding).where(code='cb5141d3d19e9').exists() implies status='in-progress'}hn-carerecord-2:暫存填否時，表單狀態必須為 completed 或 amended。 {item.where(linkId='IsTemporary').answer.value.ofType(Coding).where(code='c0c70665b6eb6').exists() implies (status='completed' or status='amended')}hn-carerecord-3:紀錄來源選擇其他時應填寫補充說明。 {item.where(linkId='RecordSource').all((item.where(linkId='RecordSource.Value').answer.value.ofType(Coding).where(code='cabca60121b39').exists()) implies item.where(linkId='RecordSource.Other').answer.value.exists())}hn-carerecord-4:居住所選擇其他時應填寫補充說明。 {item.where(linkId='Live').all((item.where(linkId='Live.Value').answer.value.ofType(Coding).where(code='cd2909f1647e7').exists()) implies item.where(linkId='Live.Other').answer.value.exists())}hn-carerecord-5:損傷類型選擇其他時應填寫補充說明。 {item.where(linkId='SkinDamages').item.where(linkId='SkinDamages.Kind').all((item.where(linkId='SkinDamages.Kind.Value').answer.value.ofType(Coding).where(code='cd2909f1647e7').exists()) implies item.where(linkId='SkinDamages.Kind.Other').answer.value.exists())}hn-carerecord-6:事件類型選擇其他時應填寫補充說明。 {item.where(linkId='EmergencyEvents').item.where(linkId='EmergencyEvents.EmergencyType').all((item.where(linkId='EmergencyEvents.EmergencyType.Value').answer.value.ofType(Coding).where(code='cd2909f1647e7').exists()) implies item.where(linkId='EmergencyEvents.EmergencyType.Other').answer.value.exists())}hn-carerecord-7:家訪應填使用資源及服務項目。 {item.where(linkId='RecordSource').item.where(linkId='RecordSource.Value').answer.value.ofType(Coding).where(code='cbeb7cdda895a').exists() implies (item.where(linkId='UseResources').item.where(linkId='UseResources.Values').answer.value.exists() and item.where(linkId='ServiceItems').item.where(linkId='ServiceItems.Values').answer.value.exists())}hn-carerecord-8:事件旗標為是時應填寫事件內容。 {item.where(linkId='IsUnplanned').answer.value.ofType(Coding).where(code='cb5141d3d19e9').exists() implies item.where(linkId='Unplanned').exists()}hn-carerecord-9:事件旗標為是時應填寫事件內容。 {item.where(linkId='IsEmergency').answer.value.ofType(Coding).where(code='cb5141d3d19e9').exists() implies item.where(linkId='Emergency').exists()}hn-carerecord-10:事件旗標為是時應填寫事件內容。 {item.where(linkId='IsSkinDamages').answer.value.ofType(Coding).where(code='cb5141d3d19e9').exists() implies item.where(linkId='SkinDamages').exists()}hn-carerecord-11:事件旗標為是時應填寫事件內容。 {item.where(linkId='IsEmergencyEvents').answer.value.ofType(Coding).where(code='cb5141d3d19e9').exists() implies item.where(linkId='EmergencyEvents').exists()}hn-carerecord-12:足部護理已評估時應提供評估內容。 {item.where(linkId='FJMEvaluation').answer.value.ofType(Coding).where(code='cb6c73a5e123a').exists() implies item.where(linkId='FJM').exists()}hn-carerecord-13:照護結束時間不可早於開始時間。 {item.where(linkId='Time2').answer.value.single() >= item.where(linkId='Time').answer.value.single()}hn-carerecord-14:壓傷應選擇其對應等級。 {item.where(linkId='WoundRecords').all((item.where(linkId='WoundRecords.Category').answer.value.ofType(Coding).where(code='c7ead2b329689').exists()) implies (item.where(linkId='WoundRecords.Level').answer.value.ofType(Coding).where(code='cd2309630a543').exists() or item.where(linkId='WoundRecords.Level').answer.value.ofType(Coding).where(code='c02aab4358253').exists() or item.where(linkId='WoundRecords.Level').answer.value.ofType(Coding).where(code='cccd9b119924f').exists() or item.where(linkId='WoundRecords.Level').answer.value.ofType(Coding).where(code='cb77fa71e8c7f').exists() or item.where(linkId='WoundRecords.Level').answer.value.ofType(Coding).where(code='cecf422c03011').exists() or item.where(linkId='WoundRecords.Level').answer.value.ofType(Coding).where(code='c6210bfc58f77').exists()))}hn-carerecord-15:失禁性皮膚炎應選擇其對應等級。 {item.where(linkId='WoundRecords').all((item.where(linkId='WoundRecords.Category').answer.value.ofType(Coding).where(code='cc7a2787e9f48').exists()) implies (item.where(linkId='WoundRecords.Level').answer.value.ofType(Coding).where(code='ccf3d835a3018').exists() or item.where(linkId='WoundRecords.Level').answer.value.ofType(Coding).where(code='ce33cd81b67cc').exists() or item.where(linkId='WoundRecords.Level').answer.value.ofType(Coding).where(code='c7259a0720e42').exists() or item.where(linkId='WoundRecords.Level').answer.value.ofType(Coding).where(code='c5c19c5dfd9c3').exists()))}hn-carerecord-16:其他傷口須留空等級並填寫說明。 {item.where(linkId='WoundRecords').all((item.where(linkId='WoundRecords.Category').answer.value.ofType(Coding).where(code='cd2909f1647e7').exists()) implies (item.where(linkId='WoundRecords.Level').answer.value.empty() and item.where(linkId='WoundRecords.Statement').answer.value.exists()))}hn-carerecord-17:非無法分期的傷口須填寫長、寬、深。 {item.where(linkId='WoundRecords').all(((item.where(linkId='WoundRecords.Category').answer.value.ofType(Coding).where(code='c7ead2b329689').exists()) and (item.where(linkId='WoundRecords.Level').answer.value.ofType(Coding).where(code='cecf422c03011').exists())).not() implies (item.where(linkId='WoundRecords.Length').answer.value.exists() and item.where(linkId='WoundRecords.Width').answer.value.exists() and item.where(linkId='WoundRecords.Depth').answer.value.exists()))}","Event","Entity. Role, or Act","Observation[moodCode=EVN]"
"QuestionnaireResponse.id","QuestionnaireResponse.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"QuestionnaireResponse.meta","QuestionnaireResponse.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"QuestionnaireResponse.implicitRules","QuestionnaireResponse.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"QuestionnaireResponse.language","QuestionnaireResponse.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages|4.0.1","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"QuestionnaireResponse.text","QuestionnaireResponse.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Act.text?"
"QuestionnaireResponse.contained","QuestionnaireResponse.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"QuestionnaireResponse.extension","QuestionnaireResponse.extension","","","",1,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"QuestionnaireResponse.extension:episode","QuestionnaireResponse.extension","episode","","",1,1,"Y","","","Extension {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/ExtHNEpisode]]} {[]}
","居家護理－收案關聯","參照此次收案的 EpisodeOfCare。以機構、個案身分證字號及收案日期區分不同次收案。","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"QuestionnaireResponse.modifierExtension","QuestionnaireResponse.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"QuestionnaireResponse.identifier","QuestionnaireResponse.identifier","","","",0,1,"","","Y","Identifier {[]} {[]}
","Unique id for this set of answers","A business identifier assigned to a particular completed (or partially completed) questionnaire.","","Used for tracking, registration and other business purposes.","","","","","","","",,,,,"",,,,"QuestionnaireResponse.identifier",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.identifier",".id","FiveWs.identifier"
"QuestionnaireResponse.basedOn","QuestionnaireResponse.basedOn","","order
","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest|4.0.1]]}
","Request fulfilled by this QuestionnaireResponse","The order, proposal or plan that is fulfilled in whole or in part by this QuestionnaireResponse.  For example, a ServiceRequest seeking an intake assessment or a decision support recommendation to assess for post-partum depression.","","Supports traceability of responsibility for the action and allows linkage of an action to the recommendations acted upon.","","","","","","","",,,,,"",,,,"QuestionnaireResponse.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.basedOn",".outboundRelationship[typeCode=FLFS].target"
"QuestionnaireResponse.partOf","QuestionnaireResponse.partOf","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation|4.0.1], CanonicalType[http://hl7.org/fhir/StructureDefinition/Procedure|4.0.1]]}
","Part of this action","A procedure or observation that this questionnaire was performed as part of the execution of.  For example, the surgery a checklist was executed as part of.","Composition of questionnaire responses will be handled by the parent questionnaire having answers that reference the child questionnaire.  For relationships to referrals, and other types of requests, use basedOn.","","","","","","","","",,,,,"",,,,"QuestionnaireResponse.partOf",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.partOf",".inboundRelationship[typeCode=COMP].source[moodCode=EVN]"
