"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 長照支付審查－服務記錄申報邏輯模型對應"
"LTCFeeApplyModel","LTCFeeApplyModel","","","",0,*,"","","","null {[]} {[]}
","長照支付審查－服務記錄申報邏輯模型","此邏輯模型以衛生福利部「支付審核系統 API 規格說明書（照管平台）v2.2.1」之「服務記錄申報 (FeeApply)」傳送資料為基礎，完整描述服務提供單位向支付審核系統申報個案服務紀錄時所需的資料結構與欄位準備指引。每個交易序號每次申報最多 5000 筆個案服務紀錄；每筆服務記錄具唯一的識別碼 (objid)，識別碼不存在時新增服務紀錄，已存在時更新服務紀錄。欄位之必填規則除傳送資料表所標示者外，另依規格書「表1: 支付碼必填欄位一覽表」隨照顧組合代碼 (govItemCd) 而異，屬條件必填，故於本模型中一律以 0..1 表示並於定義中說明條件。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"LTCFeeApplyModel.applyInfo","LTCFeeApplyModel.applyInfo","","","",1,1,"","","","BackboneElement {[]} {[]}
","申報資料","服務記錄申報之申報資料本體 (apply_info)，單筆物件，包含本次申報批次的表頭資訊與其下的個案服務紀錄集合。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Claim"
"LTCFeeApplyModel.applyInfo.id","LTCFeeApplyModel.applyInfo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LTCFeeApplyModel.applyInfo.extension","LTCFeeApplyModel.applyInfo.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LTCFeeApplyModel.applyInfo.modifierExtension","LTCFeeApplyModel.applyInfo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LTCFeeApplyModel.applyInfo.writeoffYyyymm","LTCFeeApplyModel.applyInfo.writeoffYyyymm","","","",1,1,"","","","string {[]} {[]}
","支審年月","本次申報所屬之支付審核年月，字串長度 6，格式為 yyyyMM（例如 201901）。必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.writeoffYyyymm",1,1,"","","Claim.identifier.where(system='http://ltc-ig.fhir.tw/identifier/feeaudit/yyyymm').value"
"LTCFeeApplyModel.applyInfo.transNo","LTCFeeApplyModel.applyInfo.transNo","","","",1,1,"","","","string {[]} {[]}
","交易序號","本次申報之交易序號，字串長度 10，由服務提供單位自訂且於同一支審年月內唯一；同一個月可多次執行服務紀錄申報。必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.transNo",1,1,"","","Claim.identifier.where(system='http://ltc-ig.fhir.tw/identifier/feeaudit/trans-no').value"
"LTCFeeApplyModel.applyInfo.records","LTCFeeApplyModel.applyInfo.records","","","",1,1,"","","","integer {[]} {[]}
","服務記錄筆數","本次申報所傳送的個案服務紀錄總筆數，數值型態，應與 caseSvcRecords 實際筆數一致。必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.records",1,1,"","","Claim"
"LTCFeeApplyModel.applyInfo.amount","LTCFeeApplyModel.applyInfo.amount","","","",0,1,"","","","decimal {[]} {[]}
","服務紀錄金額","本次申報所傳送之服務紀錄總金額，數值型態。非必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.amount",0,1,"","","Claim.total"
"LTCFeeApplyModel.applyInfo.cases","LTCFeeApplyModel.applyInfo.cases","","","",1,1,"","","","integer {[]} {[]}
","申請個案數","本次申報所涵蓋之申請個案數（不重複個案人數），數值型態。必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.cases",1,1,"","","Claim.patient"
"LTCFeeApplyModel.applyInfo.caseSvcRecords","LTCFeeApplyModel.applyInfo.caseSvcRecords","","","",1,*,"","","","BackboneElement {[]} {[]}
","個案服務紀錄","個案服務紀錄 (case_svc_records)，多筆物件；每個交易序號每次申報最多 5000 筆。該服務記錄之案件若已執行「申報確認通知」，則不允許再執行服務紀錄申報。必填欄位。","","","","","","","","","",,,,,"",,,,"LTCFeeApplyModel.applyInfo.caseSvcRecords",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Claim"
