"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 長照支付審查－分案審核狀態與交易處理結果邏輯模型對應"
"LTCFeeAuditStatusModel","LTCFeeAuditStatusModel","","","",0,*,"","","","null {[]} {[]}
","長照支付審查－分案審核狀態與交易處理結果邏輯模型","此邏輯模型以衛生福利部支付審核系統（照管平台）API 規格說明書為基礎，用以描述服務單位各分案審核狀態查詢（查詢A）、服務紀錄刪除（ObjDel）、申報確認通知（appCompletionNotice）、撤回服務記錄（appCancel）及取消交易單處理結果回報（CancelResultResponse）之資料結構與欄位準備指引。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"LTCFeeAuditStatusModel.queryInfo","LTCFeeAuditStatusModel.queryInfo","","","",1,1,"","","","BackboneElement {[]} {[]}
","查詢輸入資訊","服務單位各分案審核狀態查詢（app_result_query_info）的查詢輸入資訊，每次查詢間隔至少為 20 分鐘","","","","","","","","","",,,,,"",,,,"LTCFeeAuditStatusModel.queryInfo",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Task"
"LTCFeeAuditStatusModel.queryInfo.id","LTCFeeAuditStatusModel.queryInfo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LTCFeeAuditStatusModel.queryInfo.extension","LTCFeeAuditStatusModel.queryInfo.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LTCFeeAuditStatusModel.queryInfo.modifierExtension","LTCFeeAuditStatusModel.queryInfo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LTCFeeAuditStatusModel.queryInfo.writeoffYyyymm","LTCFeeAuditStatusModel.queryInfo.writeoffYyyymm","","","",1,1,"","","","string {[]} {[]}
","支審年月","支付審核年月，格式為 yyyyMM，長度 6","","","","","","","","","",,,,,"",,,,"LTCFeeAuditStatusModel.queryInfo.writeoffYyyymm",1,1,"","","Task.identifier.where(system='http://ltc-ig.fhir.tw/identifier/feeaudit/yyyymm').value"
"LTCFeeAuditStatusModel.queryInfo.transNo","LTCFeeAuditStatusModel.queryInfo.transNo","","","",1,1,"","","","string {[]} {[]}
","交易序號","本次查詢的交易序號，長度上限 10","","","","","","","","","",,,,,"",,,,"LTCFeeAuditStatusModel.queryInfo.transNo",1,1,"","","Task.groupIdentifier.value"
"LTCFeeAuditStatusModel.queryInfo.queryType","LTCFeeAuditStatusModel.queryInfo.queryType","","","",1,1,"","","","code {[]} {[]}
","查詢類別","查詢類別，長度 1，固定值：A（服務單位各分案審核狀態查詢）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditStatusModel.queryInfo.queryType",1,1,"","","Task"
"LTCFeeAuditStatusModel.cityInfo","LTCFeeAuditStatusModel.cityInfo","","","",0,*,"","","","BackboneElement {[]} {[]}
","縣市案件資訊","查詢回覆之縣市案件資訊（city_info），依縣市別列出該支審年月各分案的審核狀態","","","","","","","","","",,,,,"",,,,"LTCFeeAuditStatusModel.cityInfo",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Task"
"LTCFeeAuditStatusModel.cityInfo.id","LTCFeeAuditStatusModel.cityInfo.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"LTCFeeAuditStatusModel.cityInfo.extension","LTCFeeAuditStatusModel.cityInfo.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LTCFeeAuditStatusModel.cityInfo.modifierExtension","LTCFeeAuditStatusModel.cityInfo.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"LTCFeeAuditStatusModel.cityInfo.cityCd","LTCFeeAuditStatusModel.cityInfo.cityCd","","","",1,1,"","","","string {[]} {[]}
","縣市代碼","案件所屬縣市的代碼，例如 65000、10020","","","","","","","","","",,,,,"",,,,"LTCFeeAuditStatusModel.cityInfo.cityCd",1,1,"","","Task.input.where(type.text='縣市代碼').valueString"
"LTCFeeAuditStatusModel.cityInfo.caseInfos","LTCFeeAuditStatusModel.cityInfo.caseInfos","","","",0,*,"","","","BackboneElement {[]} {[]}
","案件資訊","該縣市之各分案案件資訊（case_infos）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditStatusModel.cityInfo.caseInfos",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"LTCFeeAuditStatusModel.cityInfo.caseInfos.id","LTCFeeAuditStatusModel.cityInfo.caseInfos.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
